name;brand;cuisine;website;lng;lat
Shah Jahan Foods;;kebab;https://www.shahjahanfoods-toulouse.fr/;1.4195514;43.5918628
McDonald's;McDonald's;burger;;2.3570144;48.8259948
Mini Bouffe;;kebab,sandwich,panini;;2.3787226;48.8462601
Quick;Quick;burger;https://www.quick.fr/;6.02245;47.2388126
McDonald's;McDonald's;burger;;2.3506956;48.8366655
Le Royal;;;;3.4459376;43.28309
Pizza;;pizza;;3.4464679;43.2854354
McDonald's;McDonald's;burger;;2.3318037;48.8332009
;;ice_cream;;3.4430442;43.2856443
Le Palmier;;pizza;;3.4715057;43.313384
;;pizza;;3.4717306;43.3141995
L'authentique Grill;;;;6.346895;46.9065062
;;pizza;;1.656305;43.5612438
Pizzeria Hall Dente;;pizza;;0.2791646;45.4825668
McDonald's;McDonald's;burger;;2.2271623;48.8703952
Le Kaz'Dal;;kebab;;6.3511468;46.9102842
SandWiChEriE;;;;2.2343322;48.8823396
;;kebab;;2.947209;48.3807648
McDonald's;McDonald's;burger;;4.8588923;46.7746696
Mythic Burger;;burger;;-0.5721093;44.8543334
McDonald's Porte de Brancion;McDonald's;burger;https://www.mcdonalds.fr/restaurants/mcdonalds-vanves-porte-de-brancion/727;2.2992548;48.8244557
;;kebab;;2.9557468;48.3862565
McDonald's;McDonald's;burger;;2.384842;48.8738345
McDonald's;McDonald's;burger;;-4.5741749;48.4275006
L'île aux pizzas;;;;0.656226;47.3478769
Smash Food;;burger;;6.8003698;47.5102833
McDonald's;McDonald's;burger;;3.0490039;50.5489492
McDonald's;McDonald's;burger;;2.0304688;47.9042434
McDonald's;McDonald's;burger;;2.437064;48.8472595
McDonald's;McDonald's;burger;;1.0715957;47.8069033
Le four a Pain;;sandwich;;3.0380191;42.7283048
;;;;2.7221226;48.4829375
McDonald's;McDonald's;burger;https://www.mcdonalds.fr/restaurants/mcdonalds-nice-promenade/154;7.2660174;43.695207
;;kebab;;5.8483754;43.1402704
La Marmotte;;;;5.5949423;44.9905297
Philéas;;;;0.7993063;45.149957
;;burger;;3.4426164;50.2393664
McDonald's Toulouse Compans;McDonald's;burger;https://www.mcdonalds.fr/restaurants/mcdonalds-toulousecompans/208;1.4354149;43.6108789
;;;;2.4724166;48.0845228
McDonald's;McDonald's;burger;;2.6615595;48.9462392
La Belle Sicile;;pizza;;5.923762;45.5640006
Pizza Club;;pizza;;4.3726025;43.838341
La Forestière;;friture;;4.0728949;50.1143836
Austral Pizza;;pizza;;4.3696951;43.8435608
Pizzas Lapierre;;pizza;http://pizza-lapierre.fr/;4.9152627;46.2577642
McDonald's;McDonald's;burger;;3.8792764;43.6086422
McDonald's;McDonald's;burger;;4.7895173;46.2527425
Horloge Food;;pizza,kebab,tacos;;4.8877822;46.2620825
KFC;KFC;chicken;;1.4382652;43.6116743
Mister Döner;;kebab;;7.1332086;43.6362149
Pizza Nick;;pizza;;6.9145843;45.4715853
McDonald's;McDonald's;burger;;5.3897046;43.2493005
O'Tacos;O'Tacos;mexican;https://o-tacos.com/fr/;6.3578055;46.902342
Ali Baba;;turkish;;6.3514308;46.9054767
O'Tacos;O'Tacos;mexican;https://o-tacos.com;7.2627819;43.7043315
La Gazelle d'Orient;;oriental;;2.396609;48.8381479
Notre Kebab;;kebab;;6.3548118;46.9047825
McDonald's;McDonald's;burger;;2.2956006;48.8374673
La Plage;;;;-1.4123797;43.7752556
Byzance;;kebab;;3.0253976;50.6365552
L'Entracte;;pizza;;-3.0006543;48.8448026
Hollyfood;;burger;;3.0243391;50.6371473
Pizza Hut;;;;-4.094219;47.9983542
McDonald's;McDonald's;burger;;2.4083438;48.8646486
Carla's Coffee;;pizza;;2.4717205;48.8096077
Cheese Nan;;indian;;5.7187503;45.1862361
Tasty pizza;;pizza;;5.7187849;45.186346
Pizza Puce;;pizza;;4.8352141;45.7798739
McDonald's;McDonald's;burger;;2.4060799;48.8354775
Le petit creu;;;;7.7437614;48.5828548
Banh Mi Saigon;;vietnamese;;7.7432143;48.585059
McDonald's;McDonald's;burger;;2.0433863;48.9289618
McDonald's;McDonald's;burger;;2.3639393;48.8206897
McDonald's;McDonald's;burger;;5.9480448;43.120613
Marco Polo Kebab;;kebab;;4.3668634;43.8415322
McDonald's;McDonald's;burger;;1.9185846;48.7601906
McDonald's;McDonald's;burger;;-2.0836044;47.4325204
Pizza Luigi;;pizza;;2.0444339;49.0121353
Snack du Claps;;;;5.4595303;44.6015789
Pizzalab;;pizza;https://instagram.com/pizzalab_montpellier?igshid=OGQ5ZDc2ODk2ZA%3D%3D&utm_source=qr;3.8817173;43.616111
McDonald's;McDonald's;burger;;5.4650687;43.4656141
Mr & Mrs Bun;;burger,vegetarian;;7.7413276;48.5829389
Le Syfax;;kebab;https://deliveroo.fr/fr/menu/grenoble/gare-sncf/snack-le-syfax;5.7195239;45.1910536
Diva Pizza;;pizza;;1.5367716;43.5494219
Mado;;turkish,grill;;7.7493521;48.5783963
Broll;;sandwich;;7.7511142;48.578721
Burger King;Burger King;burger;https://www.burgerking.fr/restaurant/lyon-pierre-benite;4.825314;45.694889
La Casa de Pitou;;sandwich;;5.7101444;45.1908309
La Mie Câline;La Mie Câline;;;0.6887088;47.3910122
Croq-o-pain;;;;2.8872373;43.9582928
Le Bosphore;;kebab;;2.4008958;48.8518769
Volkan;;turkish;;7.7595293;48.5787242
Délices Zhong Hua;;;;2.3145268;48.8319092
McDonald's;McDonald's;burger;;2.4164057;48.879954
;;;;2.832161;50.429389
;;kebab;;2.2228453;47.8687213
Chrono Pizza;;pizza;;2.3950798;48.8362289
Pizzéria Tutti Pizza;;;;1.4668845;43.7033827
Kebaberie de Montbéliard;;;;6.7952792;47.5097717
McDonald's;McDonald's;burger;;7.7365357;48.5843198
Métare Kebab;;;;4.420123;45.4187463
;;;;6.8936928;49.0474605
Midi Pile;;;;-0.584421;44.8779673
Chamas Tacos;;mexican;;4.8294835;45.7344608
Mei Xi;;chinese;;2.3796937;48.8463781
Sefa Antalya;;kebab;;2.3823365;48.8466733
Sandwichs Vietnamiens;;vietnamese;;2.3879237;48.843692
Deniz;;kebab;;2.3787984;48.8501888
Bibimcup;;korean;http://bibimcup.fr/;2.3813881;48.8506115
Chez Fred;;fast_food;;5.2052859;43.4058072
Constantinople;;;;2.6927561;48.4741844
McDonald's;McDonald's;burger;https://www.restaurants.mcdonalds.fr/mcdonalds-nimes-les-halles;4.3588035;43.8397537
Ayten;;kebab;;2.8230698;49.4050008
